Address,Settlement
Gyöngyös Szent Bertalan utca 2.,Gyöngyös
Székesfehérvár Gyümölcs utca,Székesfehérvár
4. kerület Lorántffy Zsuzsanna utca,4. kerület
4. kerület Vasvári Pál utca,4. kerület
Debrecen Szappanos utca,Debrecen
18. kerület Zrínyi utca,18. kerület
Kaposvár Gróf Apponyi Albert köz,Kaposvár
Zalaegerszeg Gébárti út,Zalaegerszeg
Nyíregyháza Moszkva utca,Nyíregyháza
Keszthely Balatonpart,Keszthely
10. kerület Platán sor,10. kerület
Kozármisleny Viola utca,Kozármisleny
Pécs Szegfű utca,Pécs
20. kerület Gubacsipuszta,20. kerület
Eger Bethlen Gábor utca,Eger
Nyíregyháza Városmajor utca,Nyíregyháza
Székesfehérvár Fecskepart,Székesfehérvár
2. kerület Széll Kálmán tér,2. kerület
Miskolc Kandó Kálmán utca,Miskolc
Alsópáhok Zala megye,Alsópáhok
8. kerület Lőrinc pap tér,8. kerület
Kecskemét Horog utca,Kecskemét
Eger Vízimolnár utca,Eger
8. kerület Baross utca 111.,8. kerület
Veszprém Füredidomb,Veszprém
Szigetszentmiklós Gyári út,Szigetszentmiklós
Pécs Sándor utca,Pécs
6. kerület Hegedű utca,6. kerület
10. kerület Gyömrői út,10. kerület
Miskolc Iván utca,Miskolc
Pécs Jogász utca 4.,Pécs
Bátaszék Tolna megye,Bátaszék
10. kerület Kelemen utca,10. kerület
Orosháza Kossuth Lajos utca,Orosháza
Szombathely Minerva lakótelep,Szombathely
Nyíregyháza István utca,Nyíregyháza
Nyíregyháza Bujtos,Nyíregyháza
Szeged Csongrádi sugárút 84.,Szeged
Miskolc Jósika Miklós utca,Miskolc
Tiszavasvári Krúdy Gyula utca,Tiszavasvári
Pécs Bornemissza Gergely utca,Pécs
Nyíregyháza Sólyom utca,Nyíregyháza
23. kerület Őrgébics utca,23. kerület
8. kerület Szilágyi utca,8. kerület
Debrecen Segner tér,Debrecen
Pécs Kolozsvár utca,Pécs
4. kerület Megyer – Szilaspatak lakópark,4. kerület
Salgótarján Városközpont,Salgótarján
Zalakaros Zala megye,Zalakaros
Székesfehérvár Szabadságharcos út,Székesfehérvár
Sopron Kertváros,Sopron
15. kerület Csorvás utca,15. kerület
4. kerület Athéni utca,4. kerület
Debrecen Kuruc utca,Debrecen
9. kerület Szemafor köz,9. kerület
18. kerület Mikszáth Kálmán utca 8.,18. kerület
Siófok Újhely,Siófok
Eger Szalapart utca,Eger
Karád Somogy megye,Karád
Nyíregyháza Honfoglalás utca,Nyíregyháza
Miskolc Arany János utca 25.,Miskolc
Pécs Felsővámház utca,Pécs
Biatorbágy Zöldsziget lakópark,Biatorbágy
Pécs Bajcsy-Zsilinszky utca,Pécs
23. kerület Soroksár,23. kerület
21. kerület Mázoló utca,21. kerület
Győr Konini út,Győr
Baja Venyige utca 11.,Baja
Szeged Bibó István utca,Szeged
Hajdúsámson Hajdú-Bihar megye,Hajdúsámson
Ercsi Belváros,Ercsi
19. kerület Hofherr Albert utca,19. kerület
Galgamácsa Pest megye,Galgamácsa
Sopron Besenyő utca,Sopron
12. kerület Nárcisz utca,12. kerület
Eger II. Rákóczi Ferenc utca,Eger
Fót Fótújfalu,Fót
Törökbálint Jázmin utca,Törökbálint
Dunaújváros Kőris utca,Dunaújváros
Esztergom Bánomi lakótelep,Esztergom
Szeged Vasas Szent Péter utca,Szeged
Budaörs Úthegy,Budaörs
8. kerület Dobozi utca,8. kerület
6. kerület Deák Ferenc tér,6. kerület
9. kerület Tagló utca 4.,9. kerület
Dunaújváros Hangulat utca,Dunaújváros
Sopron Híd utca,Sopron
16. kerület Cinkota – Európa lakókert,16. kerület
Monor Belváros,Monor
Szolnok Pletykafalu,Szolnok
Szeged Gőz utca,Szeged
Biatorbágy Szily Kálmán út 60/B,Biatorbágy
13. kerület Marina sétány,13. kerület
Szentendre Derecske,Szentendre
Debrecen Epreskert,Debrecen
Székesfehérvár Királykút,Székesfehérvár
6. kerület Podmaniczky utca 69.,6. kerület
Szolnok Táncsics Mihály utca,Szolnok
Veresegyház Revetek,Veresegyház
Ráckeve Belváros,Ráckeve
Pécs József Attila utca 32/1,Pécs
20. kerület Damjanich utca,20. kerület
Hévíz Gyógytó környéke,Hévíz
Veszprém Hóvirág utca,Veszprém
Csopak Örkény István sétány,Csopak
Nagykőrös Pest megye,Nagykőrös
3. kerület Ezüstkő utca,3. kerület
14. kerület Rákospatak utca,14. kerület
10. kerület Ónodi utca,10. kerület
Debrecen Kemény Zsigmond utca,Debrecen
Balkány Szakolyi utca,Balkány
Szeged Rókusi körút,Szeged
22. kerület Bartók Béla út,22. kerület
Sármellék Zala megye,Sármellék
Zalaegerszeg Hatház,Zalaegerszeg
Pomáz Szelistye,Pomáz
Balatonboglár Városközpont,Balatonboglár
Siófok Tanácsház utca 14.,Siófok
Komló Gorkij utca 42.,Komló
Salgótarján Kemerovó lakótelep,Salgótarján
Szécsény Nógrád megye,Szécsény
Táborfalva Pest megye,Táborfalva
18. kerület Kétújfalu utca,18. kerület
Hódmezővásárhely Belváros,Hódmezővásárhely
22. kerület X. utca,22. kerület
2. kerület Vidra utca,2. kerület
18. kerület Erzsébettelep,18. kerület
Kozármisleny Széchenyi utca,Kozármisleny
13. kerület Sólyatér utca,13. kerület
Göd Kerekerdő utca,Göd
Kecskemét Hollandfalu,Kecskemét
16. kerület Mészáros József utca,16. kerület
Kaposvár Cser,Kaposvár
Siófok Aradi vértanúk útja,Siófok
Szeged Etelka sor 1.,Szeged
15. kerület Bezsilla Nándor utca,15. kerület
3. kerület Szél utca,3. kerület
Gödöllő Kazinczy körút,Göd
Debrecen Vendég utca,Debrecen
Balatonakarattya Veszprém megye,Balatonakarattya
20. kerület Szent Imre herceg utca,20. kerület
Nyíregyháza Tompa Mihály utca,Nyíregyháza
Szombathely Gyöngyöshermán,Szombathely
3. kerület Kaszás dűlő,3. kerület
Debrecen István út 91.,Debrecen
Lábatlan Piszkei lakótelep 7.,Lábatlan
3. kerület Kórház utca,3. kerület
Szeged Felső Tisza part 31-34.,Szeged
Balatonfenyves Mészáros Lázár utca 2-4.,Balatonfenyves
Balatonvilágos Balatonaliga,Balatonvilágos
Nyíregyháza Semmelweis utca,Nyíregyháza
Pilisborosjenő Központ,Pilisborosjenő
Győr Herman Ottó utca,Győr
Siófok Szent László utca 181.,Siófok
Debrecen Fényes udvar,Debrecen
Makó Csongrád megye,Makó
16. kerület Olga utca,16. kerület
Győr Likócs,Győr
Kiskunhalas Kossuth utca 9.,Kiskunhalas
Pécs József Attila utca 17.,Pécs
Aszód Pest megye,Aszód
3. kerület Békásmegyer – Pünkösdfürdő,3. kerület
10. kerület Hatház utca 11.,10. kerület
13. kerület Rózsafa utca 1.,13. kerület
18. kerület Benedekfalva utca,18. kerület
14. kerület Ilka utca 44.,14. kerület
Győr Dugonics utca,Győr
3. kerület Törökkő,3. kerület
Kőszeg Gyöngyös utca,Kőszeg
3. kerület Óbuda – Kísérleti lakótelep,3. kerület
Tapolca Keleti városrész,Tapolca
Eger Balassi Bálint utca,Eger
Üllő Sportliget lakópark,Üllő
Mohács Dózsa György utca,Mohács
22. kerület Hómező utca,22. kerület
5. kerület Képíró utca,5. kerület
Hegykő Győr-Moson-Sopron megye,Hegykő
3. kerület Ürömhegyi lejtő,3. kerület
5. kerület Belgrád rakpart 18.,5. kerület
8. kerület Orczy tér 4/c,8. kerület
6. kerület Szondi utca 74.,6. kerület
Pécs Toldi Miklós utca,Pécs
22. kerület Pógyor István utca,22. kerület
Miskolc Petneházy Dávid utca,Miskolc
Tapolca Belváros,Tapolca
Csepreg Vas megye,Csepreg
13. kerület Hegedűs Gyula utca 6.,13. kerület
18. kerület Erdőskert,18. kerület
2. kerület Tüske utca,2. kerület
Eger Vécseyvölgy,Eger
8. kerület Elnök utca,8. kerület
Érd Újtelep,Érd
Mohács Belváros,Mohács
Mohács Szentháromság utca,Mohács
15. kerület Pézsma utca,15. kerület
Pécs Kandó Kálmán utca,Pécs
Nyíregyháza Korányi köz,Nyíregyháza
Baja Kölcsey Ferenc utca,Baja
5. kerület Szabadság tér,5. kerület
Nyíregyháza Nádor utca,Nyíregyháza
8. kerület Illés köz,8. kerület
20. kerület Ady Endre utca,20. kerület
10. kerület Liget tér,10. kerület
Nyíregyháza Stadion utca,Nyíregyháza
Szigetvár Berzsenyi utca 7.,Szigetvár
Szigetvár Sánc utca 3.,Szigetvár
4. kerület Szekfű Gyula utca,4. kerület
18. kerület Fenyőfa utca,18. kerület
Monor Pest megye,Monor
5. kerület Múzeum körút 23.,5. kerület
Monor Újtelep,Monor
Miskolc Felsőruzsin körút 8.,Miskolc
19. kerület Üllői út,19. kerület
Dombóvár Vasút sor,Dombóvár
5. kerület Arany János utca,5. kerület
Szigetvár Akácos út 1/1,Szigetvár
16. kerület Attila utca,16. kerület
Csorna Győr-Moson-Sopron megye,Csorna
11. kerület Nádorkert,11. kerület
14. kerület Borostyán utca 8.,14. kerület
Pomáz Váci Mihály utca,Pomáz
Pécs Vöröskereszt utca,Pécs
Mezőkövesd Borsod-Abaúj-Zemplén megye,Mezőkövesd
Pécs Vargha Damján utca,Pécs
Mátranovák Nógrád megye,Mátranovák
Szigetvár Radován tér 1.,Szigetvár
Nagykanizsa Király utca 6.,Nagykanizsa
Budakeszi Máriamakk,Budakeszi
9. kerület Ipar utca 2.,9. kerület
Győr Ipar utca,Győr
Gyula Törökzug,Gyula
Komló Juhász Gyula utca,Komló
Miskolc Csaba vezér út 50.,Miskolc
Szolnok Baross utca,Szolnok
13. kerület Úszódaru utca 5.,13. kerület
8. kerület Józsefváros – Ganznegyed,8. kerület
Acsád Vas megye,Acsád
Keszthely Schwarz-lakótelep,Keszthely
2. kerület Csatárka – Látóhegy,2. kerület
Sümeg Kossuth Lajos utca 38.,Sümeg
Diósd Központ,Diósd
Hosszúhetény Bazsarózsa utca,Hosszúhetény
Sümeg Belváros,Sümeg
Sümeg Kossuth Lajos utca 36.,Sümeg
Nyíregyháza Selyem utca 21.,Nyíregyháza
Paks Óváros,Paks
Kecskemét Dobó István körút,Kecskemét
Veszprém Jutasi út,Veszprém
13. kerület Párta köz,13. kerület
Nyíregyháza Sóstóhegy,Nyíregyháza
Siófok Zichy Mihály utca,Siófok
14. kerület Szabó József utca,14. kerület
Szigetvár Szent István lakótelep 23.,Szigetvár
Esztergályhorváti Zala megye,Esztergályhorváti
5. kerület Nyáry Pál utca,5. kerület
20. kerület János utca,20. kerület
6. kerület Nagymező utca 37.,6. kerület
Tahitótfalu Tahi,Tahitótfalu
Budakeszi Pest megye,Budakeszi
11. kerület Bikszádi utca,11. kerület
16. kerület Enikő utca,16. kerület
Kóny Győr-Moson-Sopron megye,Kóny
22. kerület Budafok – Leányka utcai lakótelep,22. kerület
Debrecen Ótemető utca,Debrecen
Vecsés Falu,Vecsés
16. kerület Erzsébetliget,16. kerület
Nyíregyháza Kiss Ernő utca,Nyíregyháza
Nádasd Vasúti út,Nádasd
Győr József Attila városrész,Győr
Budakeszi Honvéd lakótelep,Budakeszi
Székesfehérvár József Attila utca,Székesfehérvár
10. kerület Népliget,10. kerület
Galgamácsa Panoráma lakótelep 2.,Galgamácsa
15. kerület Batthyány utca,15. kerület
Szigethalom Dunapart,Szigethalom
8. kerület Német utca,8. kerület
Nagykanizsa Munkás utca,Nagykanizsa
Eger Olasz utca,Eger
Pécs Somogyi Béla utca,Pécs
12. kerület Edvi Illés út,12. kerület
Debrecen Gyergyó utca,Debrecen
Szekszárd Alsóváros,Szekszárd
Szolnok Ady Endre út,Szolnok
Cegléd Rákóczi út,Cegléd
Esztergom Martsa Alajos utca,Esztergom
9. kerület Köztelek utca,9. kerület
Pécs Megyeri tér,Pécs
Pécs Tető út,Pécs
Ráckeve Pest megye,Ráckeve
Üröm Rókahegy,Üröm
Tiszaújváros Erzsébet tér,Tiszaújváros
15. kerület Pestújhelyi út,15. kerület
Nagykovácsi Ófalu,Nagykovácsi
Kiskőrös Városközpont,Kiskőrös
Berhida Peremarton gyártelep,Berhida
6. kerület Teréz körút 37.,6. kerület
Ács Cukorgyártelep 6.,Ács
Almásfüzitő Komárom-Esztergom megye,Almásfüzitő
10. kerület Pongrácz út,10. kerület
Remeteszőlős Pest megye,Remeteszőlős
Debrecen Hajnal utca 21.,Debrecen
Pécs Széchenyi tér,Pécs
Lenti Zala megye,Lenti
11. kerület Mohai út,11. kerület
Fót Szent Benedek lakópark,Fót
4. kerület Jókai utca,4. kerület
Nyíregyháza Nád utca,Nyíregyháza
Sopron Kőszegi út,Sopron
10. kerület Székfűvirág utca,10. kerület
Komló Vértanúk utca,Komló
Fót Királydomb,Fót
Székesfehérvár Bátky Zsigmond utca,Székesfehérvár
Nagykanizsa Dózsa György utca,Nagykanizsa
Pécs Majorossy Imre utca,Pécs
Kazincbarcika Paál László utca,Kazincbarcika
3. kerület Testvérhegyi út,3. kerület
Öttevény Győr-Moson-Sopron megye,Öttevény
Veszprém Május 1. utca,Veszprém
Nagykovácsi Rozmaring utca,Nagykovácsi
Pilisvörösvár Központ,Pilisvörösvár
2. kerület Ady Endre utca,2. kerület
Kazincbarcika Egressy Béni út,Kazincbarcika
Kazincbarcika Pollack Mihály utca,Kazincbarcika
14. kerület Szabó József utca 25.,14. kerület
Baja Ybl sétány 9.,Baja
Fertőboz Győr-Moson-Sopron megye,Fertőboz
Kecskemét Forrás utca,Kecskemét
Harkány Kossuth Lajos utca,Harkány
Sopron Balfi út,Sopron
Kozármisleny Kamilla utca 62.,Kozármisleny
10. kerület Üllői út 120.,10. kerület
18. kerület Csontváry Kosztka Tivadar utca 7.,18. kerület
Győr Vécsey utca,Győr
Dunaújváros Vasmű út 21.,Dunaújváros
Csopak Kőkorsó utca,Csopak
14. kerület Istvánffy utca,14. kerület
Százhalombatta Pannónia utca,Százhalombatta
Zalacsány Csány László utca,Zalacsány
15. kerület Rákospalota – Szilas parki lakótelep,15. kerület
Pécs Építők útja,Pécs
Eger Almagyar,Eger
Túrkeve Jász-Nagykun-Szolnok megye,Túrkeve
Zalaegerszeg Köztársaság útja,Zalaegerszeg
Vác Jókai Mór utca 8.,Vác
Pécs Palahegy utca,Pécs
Nagykovácsi Cseresznyés,Nagykovácsi
16. kerület Újmátyásföld,16. kerület
Kaposvár Zaranyi lakótelep,Kaposvár
11. kerület Hegytető utca,11. kerület
2. kerület Pentelei Molnár utca,2. kerület
Pécs Majtényi Ferenc utca,Pécs
Szerencs Borsod-Abaúj-Zemplén megye,Szerencs
1. kerület Király lépcső,1. kerület
Kazincbarcika Nagy Lajos utca,Kazincbarcika
Rajka Győr-Moson-Sopron megye,Rajka
Hajmáskér Veszprém megye,Hajmáskér
Esztergom Aranyhegy,Esztergom
Kisoroszi Pest megye,Kisoroszi
Nyíregyháza Czuczor Gergely utca 17.,Nyíregyháza
10. kerület Bebek utca,10. kerület
Tolna Tolna megye,Tolna
Pécs Székely Bertalan út,Pécs
3. kerület Vályog utca,3. kerület
3. kerület Laborc utca,3. kerület
12. kerület Méra utca,12. kerület
9. kerület Tóth Kálmán utca,9. kerület
5. kerület Sörház utca,5. kerület
4. kerület Vörösmarty utca,4. kerület
6. kerület Dessewffy utca 5.,6. kerület
Solymár Móricz Zsigmond utca,Solymár
Debrecen Kürtös utca,Debrecen
5. kerület Akadémia utca,5. kerület
10. kerület Újhegy – Rózsaliget lakópark,10. kerület
Szigethalom Pest megye,Szigethalom
Cegléd Szarvas utca,Cegléd
Bicske Akácfa utca 15.,Bicske
1. kerület Bérc utca,1. kerület
Győr Répce utca 3.,Győr
Esztergom Szalézi út 8/B.,Esztergom
Pécs Málomi út,Pécs
Dunaföldvár Barotapuszta,Dunaföldvár
Szeged Vajda utca,Szeged
Sümeg Kossuth Lajos utca,Sümeg
11. kerület Hollókő utca,11. kerület
2. kerület Budakeszi út 77.,2. kerület
Bonyhád Tolna megye,Bonyhád
Bonyhád Belváros,Bonyhád
Sopron Ravazd utcai lakótelep,Sopron
Sümeg Veszprém megye,Sümeg
9. kerület Pápay István utca,9. kerület
Nyíregyháza Erdő sor,Nyíregyháza
Esztergom Irinyi János utca,Esztergom
Baja Belváros,Baja
21. kerület Csepel-Gyártelep,21. kerület
Baja Szállásváros,Baja
Nyíregyháza Katona utca,Nyíregyháza
Pécs Tettye utca,Pécs
4. kerület Izzó utca,4. kerület
8. kerület Blaha Lujza tér,8. kerület
Kecskemét Árpád körút,Kecskemét
11. kerület Eszék utca,11. kerület
11. kerület Nedecvár utca,11. kerület
Harsány Esze Tamás utca 1.,Harsány
Tápiószele Pest megye,Tápiószele
Szolnok Déli városrész,Szolnok
11. kerület Zámori utca,11. kerület
15. kerület Kossuth utca,15. kerület
12. kerület Tartsay Vilmos utca,12. kerület
Dunaújváros Szilvás utca,Dunaújváros
Nyíregyháza Moszkva utca 7.,Nyíregyháza
Sopron Szélső utca,Sopron
18. kerület Vándor Sándor utca,18. kerület
Enying Fejér megye,Enying
Kecskemét Vacsi köz,Kecskemét
Komló Alkotmány utca,Komló
Balatonföldvár Motel sétány,Balatonföldvár
Dunaföldvár Kenderföldi utca,Dunaföldvár
Kővágóörs Pálköve,Kővágóörs
3. kerület Kossuth Lajos üdülőpart,3. kerület
Szigetvár Rákóczi utca 4.,Szigetvár
Nyíregyháza László utca,Nyíregyháza
Göd Alsógöd,Göd
11. kerület Somló lépcső,11. kerület
Baja Kölcsey Ferenc utca 94.,Baja
1. kerület Tóth Árpád sétány,1. kerület
Debrecen Nádsíp utca,Debrecen
Rajka Dózsa György utca,Rajka
12. kerület Városmajor utca 6.,12. kerület
Göd Ilona utca 8.,Göd
Oroszlány Táncsics udvar,Oroszlány
Aszód Falujárók úti lakótelep,Aszód
4. kerület Csányi László utca,4. kerület
12. kerület Árnyas út,12. kerület
Harkány Bartók Béla utca,Harkány
Monorierdő Pest megye,Monor
Szolnok Szolnok ispán körút,Szolnok
22. kerület Zentai út,22. kerület
Érd Kakukk utca,Érd
Zákány Somogy megye,Zákány
Kaposvár Donner,Kaposvár
Sopron Bajnok utca,Sopron
Sopron Kőfaragó tér,Sopron
Tatabánya Paletta lakópark 5.,Tatabánya
13. kerület Zsilip utca,13. kerület
Szekszárd Tinódi utca,Szekszárd
Debrecen Bem tér,Debrecen
14. kerület Örs vezér útja,14. kerület
Komló Baranya megye,Komló
Solymár Rózsika-forrás környéke,Solymár
18. kerület Kele utca,18. kerület
Kecskemét Hunyadiváros,Kecskemét
8. kerület Nagy Templom utca 34.,8. kerület
13. kerület Turóc utca 9.,13. kerület
Szeged Kiskundorozsma,Szeged
Sopron Végfordulat,Sopron
14. kerület Szentgotthárd utca,14. kerület
10. kerület Óhegy park,10. kerület
Cserszegtomaj Központ,Cserszegtomaj
Hajdúszoboszló Belváros,Hajdúszoboszló
Dunakeszi Bazsanth Vince utca,Dunakeszi
Szekszárd Kölcsey lakótelep,Szekszárd
10. kerület Hölgy utca,10. kerület
Almásfüzitő Nagykolónia,Almásfüzitő
Almásfüzitő Kőolaj lakótelep,Almásfüzitő
15. kerület Kolozsvár utca,15. kerület
Szeged Dobó utca,Szeged
Sopron Szög utca,Sopron
9. kerület Lechner Ödön fasor,9. kerület
Nagykanizsa Katonarét,Nagykanizsa
Bakonyszentkirály Kossuth utca 24/1.,Bakonyszentkirály
2. kerület Aranka utca,2. kerület
Balatonrendes Veszprém megye,Balatonrendes
Szekszárd Kőrösi Csoma Sándor utca,Szekszárd
19. kerület Nádasdy utca 96.,19. kerület
Sopron Tómalom utca,Sopron
3. kerület Budakalász utca,3. kerület
1. kerület Pálya utca 2.,1. kerület
12. kerület Sashegy,12. kerület
11. kerület Fejér Lipót köz,11. kerület
Siófok Széchenyi utca,Siófok
11. kerület Kondorosi út 10.,11. kerület
Diósd Pest megye,Diósd
5. kerület Széchenyi rakpart,5. kerület
2. kerület Vadaskerti utca,2. kerület
Pécs Faludi Ferenc utca,Pécs
20. kerület Mártírok útja,20. kerület
Pécs Alsóhavi utca,Pécs
Kecskemét Szabó Kálmán utca,Kecskemét
Zalaegerszeg Jákum Ferenc utca,Zalaegerszeg
Komló Hegyhát utca,Komló
Pécs Péter utca,Pécs
Pécs Berek sétány,Pécs
Nyíregyháza Belső körút,Nyíregyháza
18. kerület Szatmárnémeti utca,18. kerület
Pápa Fő utca,Pápa
Kecskemét Klapka utca,Kecskemét
Fertőrákos Győr-Moson-Sopron megye,Fertőrákos
Szigetszentmárton Ifjúság útja,Szigetszentmárton
17. kerület Lőrinci út,17. kerület
Dunakeszi Arad utca,Dunakeszi
19. kerület Kossuth Lajos utca,19. kerület
14. kerület Csáktornya utca,14. kerület
Ajka Veszprém megye,Ajka
Budakeszi Honfoglalás sétány,Budakeszi
Debrecen Szepességi utca,Debrecen
Nagyatád Hunyadi utca 6A,Nagyatád
Kalocsa Duna utca,Kalocsa
Baja Újvárosi lakótelep,Baja
22. kerület Verseci utca,22. kerület
Gyula Szőnyi köz,Gyula
22. kerület Rákóczi út,22. kerület
Nagykanizsa Kisberki utca,Nagykanizsa
Veszprém Diósy Márton utca,Veszprém
Tököl Belváros,Tököl
12. kerület Denevér út,12. kerület
11. kerület Rőf utca,11. kerület
Leányfalu Pest megye,Leányfalu
20. kerület Alkotmány utca,20. kerület
Nyíregyháza Országzászló tér,Nyíregyháza
4. kerület Ankara utca,4. kerület
18. kerület Kisfaludy utca,18. kerület
Baja Bács-Kiskun megye,Baja
Pécs Damjanich utca,Pécs
3. kerület Farkastorok,3. kerület
Buják Nógrád megye,Buják
Pécs Lenke utca,Pécs
20. kerület Gubacsi lakótelep,20. kerület
Üröm Széchenyitelep,Üröm
Győr Kisbácsa,Győr
Kecskemét Pákozdi csata utca,Kecskemét
Ajka Mikszáth Kálmán utca,Ajka
Harkány Belváros,Harkány
Kaposvár Somssich Pál utca 2.,Kaposvár
19. kerület Jókai utca,19. kerület
9. kerület Ecseri út,9. kerület
16. kerület Gusztáv utca,16. kerület
Németkér Tolna megye,Németkér
15. kerület Nyírpalota út 53.,15. kerület
3. kerület Szentendrei út 20.5/26,3. kerület
14. kerület Thököly út 167.,14. kerület
Kaposvár Rómahegy,Kaposvár
Felsőszentiván Bács-Kiskun megye,Felsőszentiván
Győr Zöld utca,Győr
Pécs Ybl Miklós utca,Pécs
Vác Báthori Miklós utca,Vác
17. kerület Régiakadémiatelep,17. kerület
17. kerület Koch Aladár utca,17. kerület
Makó Liget utca,Makó
Pécs Kacsóh Pongrác utca,Pécs
4. kerület Kossuth utca,4. kerület
2. kerület Bimbó út 3.,2. kerület
8. kerület Hock János utca,8. kerület
13. kerület Szent László út 54.,13. kerület
8. kerület Szabó Ervin tér,8. kerület
8. kerület Kerepesi út 1.,8. kerület
9. kerület Csarnok tér,9. kerület
11. kerület Vahot utca,11. kerület
Kecskemét Jókai utca,Kecskemét
Nagyatád Jókai utca,Nagyatád
2. kerület Hárshegyi út 5-7,2. kerület
3. kerület Kolostor út,3. kerület
2. kerület József Attila útja,2. kerület
3. kerület Búvár utca,3. kerület
Kecskemét Jókai utca 31.,Kecskemét
Nagyatád Tallián Andor utca,Nagyatád
11. kerület Holdvilág utca,11. kerület
4. kerület Széchenyi tér,4. kerület
Kiskunfélegyháza Városközpont,Kiskunfélegyháza
8. kerület Öt Pacsirta utca,8. kerület
16. kerület Ómátyásföld,16. kerület
3. kerület Prés utca,3. kerület
3. kerület Virág Benedek utca 31.,3. kerület
Debrecen Lisznyai utca,Debrecen
4. kerület Kinizsi utca,4. kerület
Hatvan Horváth Mihály út,Hatvan
8. kerület Vasas köz,8. kerület
Kiskunlacháza Kossuth Lajos út 31/A,Kiskunlacháza
Nagytarcsa Öreghegy,Nagytarcsa
1. kerület Batthyány utca 13.,1. kerület
Békéscsaba Illésházi utca,Békéscsaba
Balatonkenese Veszprém megye,Balatonkenese
22. kerület Szebeni utca,22. kerület
8. kerület Szigetvári utca,8. kerület
Kisfalud Győr-Moson-Sopron megye,Kisfalud
Kővágószőlős Újtelep 3/A,Kővágószőlős
13. kerület Gergely Győző utca,13. kerület
10. kerület Kolozsvári utca,10. kerület
Révfülöp Veszprém megye,Révfülöp
Gyöngyös II. Rákóczi Ferenc utca 4.,Gyöngyös
15. kerület Patyolat köz,15. kerület
10. kerület Szőlőhegy utca,10. kerület
Hajmáskér Jókai Mór lakótelep 8/E,Hajmáskér
16. kerület Benő utca,16. kerület
Hajdúszoboszló Fürdőnegyed,Hajdúszoboszló
7. kerület Garay utca 45.,7. kerület
Törökbálint Pistály,Törökbálint
11. kerület Cseresznye utca,11. kerület
Kecskemét Szarvas utca,Kecskemét
Szarvas Vasút utca,Szarvas
10. kerület Kőbánya-Kertváros,10. kerület
6. kerület Vasvári Pál utca,6. kerület
6. kerület Király utca 104.,6. kerület
Szajk Baranya megye,Szajk
3. kerület Pók utca,3. kerület
Nagykanizsa Hunyadi utca,Nagykanizsa
Üröm Budai út,Üröm
Herceghalom Kiserdő út,Herceghalom
14. kerület Szilágysomlyó utca,14. kerület
Paks Kishegyi út,Paks
22. kerület Magasház utca,22. kerület
Nyíregyháza Inczédy sor 11.,Nyíregyháza
11. kerület Hauszmann Alajos utca,11. kerület
Orosháza Dénes Tanitó utca,Orosháza
9. kerület Víztorony köz,9. kerület
8. kerület Stáhly utca,8. kerület
Oroszlány Újváros,Oroszlány
7. kerület Wesselényi utca 40.,7. kerület
Sopron Bécsi út,Sopron
17. kerület Risztics János utca,17. kerület
Szekszárd Csatár,Szekszárd
Eger Szent János utca,Eger
Eger Vallon utca,Eger
Vác Kálvin János utca,Vác
Baja Kígyó utca,Baja
15. kerület Dugonics utca,15. kerület
Tatabánya Molnár János utca,Tatabánya
Nagyatád Hunyadi utca,Nagyatád
10. kerület Martinovics tér,10. kerület
Balatonszárszó Üdülőövezet,Balatonszárszó
