Address,Settlement
13. kerület Röppentyű utca 73 B,13. kerület
5. kerület Kecskeméti utca 13.,5. kerület
11. kerület Rákó utca,11. kerület
2. kerület Lotz Károly utca,2. kerület
3. kerület Szépvölgyi út,3. kerület
6. kerület Bajcsy-Zsilinszky út 21.,6. kerület
17. kerület Dedics Ferenc utca,17. kerület
2. kerület Riadó utca,2. kerület
7. kerület Csányi utca 7.,7. kerület
11. kerület Kékperje utca,11. kerület
7. kerület Dohány utca 48.,7. kerület
8. kerület Práter utca 58.,8. kerület
7. kerület Síp utca 16-18,7. kerület
Budaörs Zombori utca 92.,Budaörs
10. kerület Doba utca,10. kerület
10. kerület Oltó utca 14.,10. kerület
7. kerület Rumbach Sebestyén utca 6.,7. kerület
18. kerület Margó Tivadar utca 71.,18. kerület
3. kerület Vályog utca 8.,3. kerület
13. kerület Cserhalom utca 8.,13. kerület
16. kerület Futórózsa utca,16. kerület
11. kerület Fadrusz utca,11. kerület
3. kerület Sarkadi Imre utca,3. kerület
6. kerület Király utca 80.,6. kerület
1. kerület Fő utca 40.,1. kerület
Göd Szeder utca,Göd
10. kerület Román utca,10. kerület
3. kerület San Marco utca 5.,3. kerület
20. kerület Attila utca 8.,20. kerület
Budaörs Pitypang utca,Budaörs
3. kerület Pünkösdfürdő utca 2.,3. kerület
4. kerület Szabadkai utca,4. kerület
7. kerület Hernád utca 35.,7. kerület
13. kerület Radnóti Miklós utca 15.,13. kerület
10. kerület Halom utca 41.,10. kerület
8. kerület Bérkocsis utca 16.,8. kerület
11. kerület Beregszász út 6.,11. kerület
20. kerület Előd utca 84.,20. kerület
14. kerület Rákosszeg park,14. kerület
4. kerület Tábor utca,4. kerület
9. kerület Haller utca 20.,9. kerület
17. kerület Rákoskert sugárút,17. kerület
6. kerület Liszt Ferenc tér 9.,6. kerület
Dunaharaszti Báthori utca 1.,Dunaharaszti
3. kerület Bécsi út 182.,3. kerület
13. kerület Dolmány utca 35.,13. kerület
8. kerület Somogyi Béla utca,8. kerület
1. kerület Kosciuszkó Tádé utca 4.,1. kerület
2. kerület Kuruclesi út 22.,2. kerület
9. kerület Óbester utca,9. kerület
13. kerület Meder utca,13. kerület
4. kerület Marosújvár utca,4. kerület
Budakeszi Erdő utca,Budakeszi
8. kerület Százados út,8. kerület
3. kerület Királyok útja 184.,3. kerület
11. kerület Kalotaszeg utca,11. kerület
13. kerület Tátra utca 43.,13. kerület
1. kerület Batthyány utca,1. kerület
14. kerület Dorozsmai utca 213.,14. kerület
5. kerület Fővám tér 4.,5. kerület
13. kerület Dagály sétány,13. kerület
9. kerület Üllői út 59.,9. kerület
3. kerület Fő tér,3. kerület
2. kerület Hargita utca,2. kerület
20. kerület Lázár utca 93.,20. kerület
16. kerület Felsőmalom utca,16. kerület
2. kerület Homokóra utca,2. kerület
22. kerület Nagytétényi út 244.,22. kerület
Szigetszentmiklós Széchenyi utca,Szigetszentmiklós
3. kerület Csengőbojt utca 2/A,3. kerület
12. kerület Galgóczy utca,12. kerület
Budakeszi Pátyi út,Budakeszi
1. kerület Lisznyai utca,1. kerület
10. kerület Nyerő utca,10. kerület
12. kerület Hegyalja út 75.,12. kerület
2. kerület Kútföldi utca,2. kerület
20. kerület Török Flóris utca,20. kerület
Törökbálint Hegyalja utca,Törökbálint
6. kerület Szondi utca 51.,6. kerület
13. kerület Göncöl utca 6.,13. kerület
12. kerület Rőzse utca 15.,12. kerület
23. kerület Szent László utca,23. kerület
8. kerület Hock János utca 3.,8. kerület
6. kerület Király utca 106.,6. kerület
1. kerület Szőnyeg utca,1. kerület
8. kerület Strázsa utca,8. kerület
11. kerület Tóberek utca 2.,11. kerület
1. kerület Hunyadi János út,1. kerület
12. kerület Galgóczy utca 3.,12. kerület
8. kerület Szentkirályi utca,8. kerület
8. kerület Osztály utca,8. kerület
11. kerület Gazdagrét,11. kerület
13. kerület Szent István park 9.,13. kerület
9. kerület Bakáts tér,9. kerület
5. kerület Kossuth Lajos tér 16-17,5. kerület
22. kerület Budatétény,22. kerület
3. kerület Kiscelli köz,3. kerület
22. kerület Budafok,22. kerület
Budaörs Pest megye,Budaörs
13. kerület Sólyatér utca,13. kerület
Fertőd Győr-Moson-Sopron megye,Fertőd
Sopron Belváros külső,Sopron
13. kerület Viza utca 7.,13. kerület
Pécs Szigeti út 69.,Pécs
12. kerület Moha utca,12. kerület
Sopron Belváros,Sopron
16. kerület Rákosi út,16. kerület
Sopron Alsólőverek,Sopron
2. kerület Síp utca,2. kerület
Biatorbágy Ohmüllner Márton sétány 46.,Biatorbágy
Sopron Pihenőkereszt lakópark,Sopron
18. kerület Bókaytelep,18. kerület
5. kerület Nyáry Pál utca,5. kerület
8. kerület Kiss József utca 2/A,8. kerület
10. kerület Harmat utca,10. kerület
Szombathely Óperint utca 11-13,Szombathely
15. kerület Törő utca,15. kerület
1. kerület Víziváros – Váralja,1. kerület
Veszprém Egry József utca,Veszprém
1. kerület Csalogány utca,1. kerület
3. kerület Lángliliom utca,3. kerület
11. kerület Gyimesbükk utca,11. kerület
12. kerület Fürj utca,12. kerület
Pécs Belváros,Pécs
Pécs Nagy Lajos király útja,Pécs
Balatonföldvár Magaspart,Balatonföldvár
9. kerület Gönczy Pál utca,9. kerület
12. kerület Alkotás utca 13.,12. kerület
4. kerület Madách utca,4. kerület
5. kerület Irányi utca 8.,5. kerület
14. kerület Mexikói út 28.,14. kerület
3. kerület Lestyán utca,3. kerület
1. kerület Mihály utca,1. kerület
4. kerület Klauzál utca,4. kerület
14. kerület Mexikói út,14. kerület
Siófok Ezüstpart,Siófok
Pécs Hársfa út,Pécs
7. kerület Kéthly Anna tér,7. kerület
11. kerület Igmándi utca 43.,11. kerület
Debrecen Belváros,Debrecen
6. kerület Eötvös utca,6. kerület
Győr Erkel Ferenc utca 7.,Győr
11. kerület Orlay utca,11. kerület
8. kerület Futó utca,8. kerület
7. kerület Vörösmarty utca,7. kerület
13. kerület Róbert Károly körút,13. kerület
22. kerület Terv utca,22. kerület
Esztergom Belváros,Esztergom
6. kerület Külső-Terézváros – Diplomatanegyed,6. kerület
Szentendre Pest megye,Szentendre
4. kerület Újpest – Pozsonyi utcai lakótelep,4. kerület
Tát Kertváros,Tát
8. kerület Rökk Szilárd utca,8. kerület
14. kerület Adria sétány 8.,14. kerület
3. kerület Valéria utca,3. kerület
7. kerület Rózsák tere,7. kerület
Fót Szent Benedek lakópark,Fót
3. kerület MyCity Residence,3. kerület
12. kerület Irhás árok,12. kerület
4. kerület Bőröndös utca,4. kerület
2. kerület Versec sor,2. kerület
Sopron Balfi út 153.,Sopron
22. kerület Kiránduló utca,22. kerület
6. kerület Székely Bertalan utca 27.,6. kerület
22. kerület Budafok – Arany János utcai lakótelep,22. kerület
20. kerület Erzsébetfalva,20. kerület
Veszprém Bakony-kert,Veszprém
3. kerület Fanyarka utca,3. kerület
2. kerület Kertváros utca,2. kerület
Veszprém Ibolya utca 6.,Veszprém
Gyömrő Pest megye,Gyömrő
20. kerület Kossuthfalva,20. kerület
9. kerület Markusovszky tér,9. kerület
7. kerület Sajó utca,7. kerület
Debrecen Hollós utca,Debrecen
20. kerület Gubacsi lakótelep,20. kerület
5. kerület Nádor utca,5. kerület
5. kerület Bástya utca,5. kerület
10. kerület Kőbánya-Városközpont,10. kerület
9. kerület Külső-Ferencváros,9. kerület
11. kerület Kanizsai utca 2-10,11. kerület
Szeged Moszkvai körút,Szeged
4. kerület Aradi utca,4. kerület
13. kerület Hun utca,13. kerület
Szigetszentmiklós Városközpont,Szigetszentmiklós
11. kerület Budafoki út 41/b,11. kerület
Győr Nádorváros,Győr
2. kerület Frankel Leó út 21-23,2. kerület
Gyömrő Liget lakópark,Gyömrő
Győr Győr-Moson-Sopron megye,Győr
4. kerület Káposztásmegyer – Homoktövis lakópark,4. kerület
9. kerület Thaly Kálmán utca,9. kerület
10. kerület Ligettelek,10. kerület
11. kerület Kelenföld – Fehérvári úti lakótelep,11. kerület
15. kerület Nádastó utca,15. kerület
Eger Régi Cifrakapu utca 32.,Eger
8. kerület Tolnai Lajos utca,8. kerület
7. kerület Almássy utca,7. kerület
14. kerület Csáktornya park,14. kerület
Eger Belváros,Eger
Érd Parkváros,Érd
4. kerület Tófalva utca,4. kerület
Sopron Egeredidomb,Sopron
12. kerület Trencséni utca,12. kerület
Fót Pest megye,Fót
Veszprém Belváros,Veszprém
10. kerület Kőbánya-Kertváros,10. kerület
20. kerület Pacsirtatelep,20. kerület
Sopron Győr-Moson-Sopron megye,Sopron
Veszprém Halle utca,Veszprém
2. kerület Széll Kálmán tér,2. kerület
16. kerület Hársfavirág utca,16. kerület
Fót Fótújfalu,Fót
22. kerület Budatétény – Rózsakert utcai lakótelep,22. kerület
Veszprém Sorompó utca,Veszprém
Tatabánya Sárberek,Tatabánya
Oroszlány Gönczi Ferenc utca,Oroszlány
4. kerület Berzeviczy Gergely utca,4. kerület
Tatabánya Gál István lakótelep,Tatabánya
Pécel Városközpont,Pécel
Székesfehérvár Palotaváros,Székesfehérvár
Veszprém Füredidomb,Veszprém
Debrecen Epreskert,Debrecen
Pécs Regina utca,Pécs
Székesfehérvár Szedreskert,Székesfehérvár
Győr Bácsa,Győr
7. kerület Marek József utca 14.,7. kerület
1. kerület Kapucinus utca,1. kerület
Üröm Völgyliget lakópark,Üröm
Pomáz Pest megye,Pomáz
3. kerület Remetehegy,3. kerület
Balatonalmádi Baross Gábor út 2.,Balatonalmádi
Debrecen Fészek lakópark,Debrecen
Fót Belváros,Fót
15. kerület Bezsilla Nándor utca,15. kerület
Veszprém Jutasi úti lakótelep,Veszprém
Veszprém Bakonyalja,Veszprém
18. kerület Gloriett lakótelep,18. kerület
5. kerület Aulich utca,5. kerület
9. kerület Vaskapu utca,9. kerület
Debrecen Egyetem sugárút,Debrecen
Paks Kodály Zoltán utca 6.,Paks
Veszprém Vécsey Károly utca,Veszprém
Üröm Pest megye,Üröm
6. kerület Dalszínház utca,6. kerület
Veszprém Klapka György utca,Veszprém
Paks Árnyas utca,Paks
Tordas Szabadság út 1/G.,Tordas
10. kerület Állomás utca,10. kerület
Érd Érdliget,Érd
Debrecen Derék utca,Debrecen
Veszprém Stromfeld Aurél utca,Veszprém
Veszprém Haszkovó utca,Veszprém
Veszprém Cserhát utca,Veszprém
6. kerület Lázár utca 18.,6. kerület
10. kerület Mélytó Lakópark,10. kerület
Debrecen Vörösmarty utca 2.,Debrecen
Veszprém Csererdő,Veszprém
Veszprém Stadion utca,Veszprém
Balatonfüred Széchenyi utca,Balatonfüred
Veszprém Kádártai út,Veszprém
Veszprém Jutasi út,Veszprém
Veszprém Csermák Antal utca,Veszprém
Balatonfüred Fürdőtelep,Balatonfüred
8. kerület Puskin utca,8. kerület
16. kerület Kerepesi út,16. kerület
Debrecen István út 29.,Debrecen
Veszprém Újtelep,Veszprém
Biatorbágy Ohmüllner Márton sétány 45.,Biatorbágy
2. kerület Máriaremetei út,2. kerület
Veszprém Aulich Lajos utca,Veszprém
Debrecen Széchenyikert,Debrecen
5. kerület Kígyó utca,5. kerület
Debrecen Poroszlay út,Debrecen
Debrecen Újkert,Debrecen
Hévíz Széchenyi utca 1.,Hévíz
Szeged Veres ács utca,Szeged
14. kerület Mimóza utca,14. kerület
Szolnok Mátyás király út,Szolnok
Szeged Űrhajós utca,Szeged
Balatonlelle Honvéd utca 72.,Balatonlelle
Debrecen Egyetemváros,Debrecen
16. kerület Szalmarózsa utca,16. kerület
2. kerület Pentelei Molnár utca 12.,2. kerület
13. kerület Angyalföld – Fiastyúk utcai lakótelep,13. kerület
Kecskemét Széchenyiváros,Kecskemét
Pécs Nagy Imre út,Pécs
Kecskemét Alsószéktó,Kecskemét
Szeged Háló utca,Szeged
Mosonmagyaróvár Szekeres Richárd utca 14. 1. Lph 3/2.,Mosonmagyaróvár
Kecskemét Arborétum lakópark,Kecskemét
14. kerület Csernyus utca 34.,14. kerület
13. kerület Párkány utca 4.,13. kerület
14. kerület Semsey Andor utca,14. kerület
14. kerület Gödöllői utca,14. kerület
Eger Lajosváros,Eger
8. kerület Magdolna utca 35.,8. kerület
Szolnok Belváros,Szolnok
5. kerület Hold utca,5. kerület
Győr Pinnyéd,Győr
Balatonalmádi Jókai Mór utca,Balatonalmádi
Eger Felsőváros,Eger
Miskolc Borsod-Abaúj-Zemplén megye,Miskolc
Debrecen Tócóskert,Debrecen
Balatonszemes Cinka Panna utca 2.,Balatonszemes
9. kerület Ipar utca 2/b,9. kerület
Debrecen Csapókert,Debrecen
Sopron Aranyhegyi lakópark,Sopron
Debrecen Mikepércsi út,Debrecen
6. kerület Révay utca,6. kerület
8. kerület Százados út 26.,8. kerület
20. kerület Sebestyén utca,20. kerület
Szeged Kereszttöltés utca,Szeged
Győr Belváros,Győr
Miskolc Szentpéteri kapu,Miskolc
Kaposvár Kossuth Lajos utca,Kaposvár
Tata Tófarok,Tata
Kaposvár Petőfi utca,Kaposvár
3. kerület Királyok útja,3. kerület
4. kerület Szent László tér 6.,4. kerület
12. kerület Németvölgyi út 6.,12. kerület
Szeged Gőz utca,Szeged
Pécs Surányi Miklós út,Pécs
Győr Marcalváros I,Győr
Szeged Rókus,Szeged
3. kerület Szent István utca,3. kerület
Székesfehérvár Felsőváros,Székesfehérvár
12. kerület Vöröskő utca,12. kerület
Szeged Hattyú utca,Szeged
Szeged Háló utca 5.,Szeged
Debrecen Vénkert,Debrecen
Pécel Szent Imre körút,Pécel
Veszprém Haszkovó lakótelep,Veszprém
Veszprém Egyetemváros,Veszprém
Üllő Pest megye,Üllő
Debrecen Nyulas,Debrecen
2. kerület Tapolcsányi utca,2. kerület
Dorog Belváros,Dorog
Székesfehérvár Fejér megye,Székesfehérvár
Miskolc Pattantyús Ábrahám Géza utca 3.,Miskolc
Miskolc Miklós utca 17.,Miskolc
Kecskemét Boróka Park,Kecskemét
11. kerület Tornavár utca,11. kerület
Szeged Alsóváros,Szeged
Debrecen István út,Debrecen
Eger Maklári hóstya,Eger
Pécs Egyetemi városrész,Pécs
Debrecen Fényes udvar,Debrecen
Kecskemét Bács-Kiskun megye,Kecskemét
Dunaújváros Görbe utca,Dunaújváros
Szeged Faragó utca,Szeged
Szeged Apáca utca,Szeged
5. kerület Zoltán utca,5. kerület
Pécs Hunyadi János utca,Pécs
Veszprém Aulich Lajos utca 21.,Veszprém
Debrecen Hajdú-Bihar megye,Debrecen
Szeged Petőfi Sándor sugárút,Szeged
Pécs Erika utca,Pécs
Miskolc Árpád út,Miskolc
Pécs Magaslati út,Pécs
Esztergom Komárom-Esztergom megye,Esztergom
11. kerület Stoczek utca,11. kerület
Szeged Móraváros,Szeged
Debrecen Borbíró tér,Debrecen
Siófok Fokihegy,Siófok
Szombathely Joskar-Ola lakótelep,Szombathely
Szeged Felsőváros,Szeged
15. kerület Mozdonyvezető utca,15. kerület
Pécs Baranya megye,Pécs
Kiskunhalas Belváros,Kiskunhalas
Miskolc Örs utca 2.,Miskolc
Pécs Maléter Pál út,Pécs
Szeged Szent István tér,Szeged
Szeged Csuka utca,Szeged
Dunaújváros Esze Tamás utca 10.,Dunaújváros
Miskolc Kőporos utca,Miskolc
Szeged Ág utca,Szeged
Debrecen Darabos utca,Debrecen
Debrecen Kartács utca 2.,Debrecen
Kecskemét Pákozdi csata utca 2.,Kecskemét
Debrecen Diófa utca 41.,Debrecen
Pécs Váci Mihály utca,Pécs
Székesfehérvár Semmelweis Ignác utca,Székesfehérvár
Győr Epres utca,Győr
Szeged Retek utca,Szeged
Miskolc Katowice utca,Miskolc
Eger Csákány utca 39.,Eger
Debrecen Tócóvölgy sétány,Debrecen
Veszprém Lóczy Lajos utca,Veszprém
Győr Kakashegy utca 07.,Győr
Győr Tátika utca,Győr
Pécs Kerényi Károly utca 6.,Pécs
Szeged Ipoly sor,Szeged
Debrecen Domokos Lajos utca 1.,Debrecen
Miskolc Gyula utca,Miskolc
Eger II. Rákóczi Ferenc utca,Eger
Kecskemét Tinódi utca,Kecskemét
Dunaújváros Bocskai István utca,Dunaújváros
Pécs Hungária utca,Pécs
Debrecen Dessewffy utca,Debrecen
Székesfehérvár Hübner András utca,Székesfehérvár
Eger Hadnagy utca,Eger
Miskolc Bársony János utca,Miskolc
Szeged Római körút,Szeged
Debrecen Ibolya utca,Debrecen
Nyíregyháza Ungvár sétány,Nyíregyháza
Debrecen Jerikó utca,Debrecen
Miskolc Márton bíró utca,Miskolc
Győr József Attila utca,Győr
Székesfehérvár Széchenyi utca,Székesfehérvár
Zalakaros Jegenye sor,Zalakaros
Kecskemét Lukács György utca,Kecskemét
Hévíz Belváros,Hévíz
Szolnok Karczag László utca,Szolnok
Dunaújváros Liget köz 1.,Dunaújváros
Szeged Hétvezér utca,Szeged
Tatabánya Verebély László utca 5.,Tatabánya
Miskolc Pozsonyi utca,Miskolc
Debrecen Damjanich utca,Debrecen
Tatabánya Reguly Antal tér 3/a,Tatabánya
Debrecen Cívis utca 11.,Debrecen
Székesfehérvár Kertalja köz 1/6,Székesfehérvár
Pécs Aidinger János út,Pécs
Sopron Bartók Béla utca,Sopron
Békéscsaba Gyóni Géza utca,Békéscsaba
Pécs Páfrány utca,Pécs
Debrecen Serház utca,Debrecen
Sopron Bécsi út,Sopron
Nyíregyháza Vasvári Pál utca,Nyíregyháza
Szeged Fülemüle utca 32.,Szeged
Szeged Cserzy Mihály utca 28.,Szeged
Nyíregyháza Ferenc körút,Nyíregyháza
Szeged Nyitra utca,Szeged
Debrecen Vas Gereben utca,Debrecen
Keszthely Cholnoky Jenő utca,Keszthely
Miskolc Róna utca 1-2,Miskolc
Győr Liget utca 20.,Győr
Sopron Cseresznye sor,Sopron
Szeged József Attila sugárút 146.,Szeged
Dunaújváros Római körút,Dunaújváros
Eger Faiskola utca 10.,Eger
Pákozd Búza utca,Pákozd
Győr Tihanyi Árpád út,Győr
Békéscsaba Kazinczy utca,Békéscsaba
Debrecen Arany János utca,Debrecen
Szeged Petőfi Sándor sugárút 66.,Szeged
Pécs Illyés Gyula út,Pécs
Kecskemét Mezei utca,Kecskemét
Győr Ifjúság körút,Győr
Balatonfüred Köztársaság utca,Balatonfüred
Miskolc Nefelejcs utca,Miskolc
Szombathely Bem József utca,Szombathely
Siófok Deák Ferenc sétány,Siófok
Miskolc Melinda utca,Miskolc
Szeged Csongrádi sugárút 67.,Szeged
Veszprém Zrínyi Miklós utca,Veszprém
Debrecen Diófa utca,Debrecen
Szeged Felső Tisza part,Szeged
Balatonlelle Orgona utca,Balatonlelle
Győr Bercsényi liget,Győr
Eger Malomárok utca 57.,Eger
Győr Somogyi Béla utca,Győr
Keszthely Schwarz Dávid utca,Keszthely
Balatonfüred Aranyeső utca,Balatonfüred
Veszprém Jutasi út 83/A.,Veszprém
Székesfehérvár Kelemen Béla utca 69.,Székesfehérvár
Zalaegerszeg Kossuth Lajos utca,Zalaegerszeg
Debrecen Kartács utca 4.,Debrecen
Győr Gyóni Géza sétány,Győr
Pécs Nagy Lajos király útja 18/b,Pécs
Szeged Madách utca,Szeged
Balatonalmádi Bajcsy-Zsilinszky út 3.,Balatonalmádi
Székesfehérvár Széchenyi utca 37.,Székesfehérvár
Pécs Polgárszőlő utca,Pécs
Székesfehérvár Széna tér,Székesfehérvár
Kecskemét Március 15. utca,Kecskemét
Debrecen Burgundia utca 16.,Debrecen
Sopron Lővér körút,Sopron
Békéscsaba Szent István tér,Békéscsaba
Szolnok Sarló utca 22.,Szolnok
Szeged Alföldi utca,Szeged
Szeged Pentelei sor 4.,Szeged
Tatabánya Ifjúság út,Tatabánya
Keszthely Fodor utca 6.,Keszthely
Debrecen Kishegyesi út,Debrecen
Kaposvár Füredi utca 18.,Kaposvár
Kaposvár József Attila utca 7.,Kaposvár
Sopron Fegyvertár utca,Sopron
Szolnok Aranyi Sándor utca,Szolnok
Nyíregyháza Őz utca,Nyíregyháza
Tatabánya Köztársaság útja,Tatabánya
Tatabánya Verebély László utca,Tatabánya
Debrecen Komlóssy út 90.,Debrecen
Szombathely Kassák Lajos utca 24.,Szombathely
Pécs Enyezd út,Pécs
Szombathely Stromfeld Aurél utca,Szombathely
Szeged Gáspár Zoltán utca 10/A,Szeged
Pécs Tildy Zoltán utca,Pécs
Miskolc Vörösmarty Mihály utca,Miskolc
Szombathely Kisfaludy Sándor utca 55.,Szombathely
Győr Vidra utca,Győr
Tatabánya Sárberki lakótelep,Tatabánya
Miskolc Andor utca 23B,Miskolc
Veszprém Pöltenberg Ernő utca,Veszprém
Kaposvár Baross Gábor utca 18.,Kaposvár
Székesfehérvár Lövölde utca,Székesfehérvár
Győr Kovács Margit utca,Győr
Győr Árpád út,Győr
Sopron Kossuth Lajos utca,Sopron
Kecskemét Kápolna utca 7.,Kecskemét
Kaposvár Kinizsi lakótelep 48.,Kaposvár
Sopron Besenyő utca,Sopron
Szombathely Thököly Imre utca 45.,Szombathely
Miskolc Perczel Mór utca,Miskolc
Szolnok Boldog Sándor István körút,Szolnok
Debrecen Csapó utca 4.,Debrecen
Szeged Bokor utca,Szeged
Nyíregyháza Törpe utca,Nyíregyháza
Miskolc Muskátli utca,Miskolc
Békéscsaba Corvin utca 21.,Békéscsaba
Pécs Felsőbalokány utca,Pécs
Eger Szarvas Gábor utca 3.,Eger
Pécs Gergely utca 2.,Pécs
Nyíregyháza Szarvas utca 62.,Nyíregyháza
Pécs Gadó utca,Pécs
Sopron Deákkúti út,Sopron
Sopron Faller Jenő utca,Sopron
Békéscsaba Tulipán utca,Békéscsaba
Kecskemét Teleki Pál tér,Kecskemét
Tatabánya Mártírok útja,Tatabánya
Pécs Erreth Lajos utca 25.,Pécs
Kecskemét Pákozdi csata utca,Kecskemét
Győr Corvin utca 27.,Győr
Balatonalmádi Csokonai köz,Balatonalmádi
Veszprém Március 15. utca,Veszprém
Debrecen Szotyori utca,Debrecen
Szombathely Bolyai János utca 13/A,Szombathely
Zalaegerszeg Kosztolányi Dezső tér,Zalaegerszeg
Székesfehérvár Rádió utca,Székesfehérvár
Pécs Szántó Kovács János utca 4/B,Pécs
Pécs Ybl Miklós utca 12.,Pécs
Székesfehérvár Katona József utca,Székesfehérvár
Győr Mónus Illés utca 56.,Győr
Győr Temető utca,Győr
Sopron Bécsi út 28.,Sopron
Szeged Gát utca 11.,Szeged
Pécs Szegfű utca,Pécs
Tatabánya Blaha Lujza utca,Tatabánya
Székesfehérvár Dévényi utca,Székesfehérvár
Pécs Tildy Zoltán utca 10.,Pécs
Szombathely Welther Károly utca,Szombathely
Szeged Pentelei sor,Szeged
